ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_eyakeyak1241,Eyak_eyak1241,eyak1241,eya,Eyak,,60.4232,-144.762,varikin,Eyak_eyak1241.txt,NA,,NA,Varikin
v_fangegfang1246,Fang_EG_fang1246,fang1246,fan,Fang (Equatorial Guinea),Atlantic-Congo,1.723965,11.61454,varikin,Fang_EG_fang1246.txt,NA,,NA,Varikin
v_fefefefe1239,Fefe_fefe1239,fefe1239,fmp,Fe'fe',Atlantic-Congo,5.18158,10.1442,varikin,Fefe_fefe1239.txt,NA,,NA,Varikin
v_finnicfinn1318,Finnic_finn1318,finn1318,fin,Finnish,Uralic,64.7628,25.5577,varikin,Finnic_finn1318.txt,NA,,NA,Varikin
v_fipafipa1238,Fipa_fipa1238,fipa1238,fip,Fipa,Atlantic-Congo,-7.88963,31.3442,varikin,Fipa_fipa1238.txt,NA,,NA,Varikin
v_flindersislandflin1247,FlindersIsland_flin1247,flin1247,fln,Flinders Island,Pama-Nyungan,-14.1812,144.259,varikin,FlindersIsland_flin1247.txt,NA,,NA,Varikin
v_frisianfris1239,Frisian_fris1239,fris1239,,Frisian,Indo-European,,,varikin,Frisian_fris1239.txt,NA,,NA,Varikin
v_futunanseast2447,Futunans_east2447,east2447,fud,East Futuna,Austronesian,-14.278717,-178.137222,varikin,Futunans_east2447.txt,NA,,NA,Varikin
v_gabrielinotong1329,Gabrielino_tong1329,tong1329,xgf,Tongva,Uto-Aztecan,34.1,-118.11,varikin,Gabrielino_tong1329.txt,NA,,NA,Varikin
v_gandagand1255,Ganda_gand1255,gand1255,lug,Ganda,Atlantic-Congo,0.66884,32.15153,varikin,Ganda_gand1255.txt,NA,,NA,Varikin
v_giryamagiry1241,Giryama_giry1241,giry1241,nyf,Giryama,Atlantic-Congo,-3.30638,39.6648,varikin,Giryama_giry1241.txt,NA,,NA,Varikin
v_godoberighod1238,Godoberi_ghod1238,ghod1238,gdo,Godoberi,Nakh-Daghestanian,42.7428,46.2252,varikin,Godoberi_ghod1238.txt,NA,,NA,Varikin
